,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,contrasted_with
ENSG00000130590,1.684371,0.2428749,mid,small,GM12878
ENSG00000166482,6.3236017,0.34754068,large,small,GM12878
ENSG00000105278,5.617539,0.28144467,large,small,GM12878
ENSG00000168209,2.0627475,0.3751308,mid,small,GM12878
ENSG00000168878,4.5523005,3.2380598,mid,small,GM12878
ENSG00000173894,5.02388,0.54554874,large,small,GM12878
ENSG00000189129,4.067588,0.48641694,mid,small,GM12878
ENSG00000166405,7.15875,0.37682378,large,small,GM12878
ENSG00000223802,6.699916,0.6703758,large,small,GM12878
ENSG00000264745,1.4338092,1.1773442,mid,small,GM12878
ENSG00000183230,2.9509768,0.32399574,mid,small,GM12878
ENSG00000205959,3.8256028,4.198595,mid,small,GM12878
ENSG00000163827,7.0007787,2.5734959,mid,small,GM12878
ENSG00000268218,7.2231035,0.51392424,large,small,GM12878
ENSG00000106070,19.83463,0.19926955,mid,small,GM12878
ENSG00000136014,7.299249,2.542988,mid,small,GM12878
ENSG00000266916,2.6325655,0.26866138,mid,small,GM12878
ENSG00000260350,1.2478795,0.5943987,mid,small,GM12878
ENSG00000161298,1.2281003,0.65918803,mid,small,GM12878
ENSG00000196503,8.33401,2.3829608,mid,small,GM12878
ENSG00000205464,8.067848,4.9751396,mid,small,GM12878
ENSG00000077782,9.436304,1.0861305,mid,small,GM12878
ENSG00000141622,11.113791,0.538321,large,small,GM12878
ENSG00000267270,1.4161258,0.12288333,mid,small,GM12878
ENSG00000152953,11.054699,0.25395155,mid,small,GM12878
ENSG00000221968,3.436878,0.85626006,mid,small,GM12878
ENSG00000267414,3.3261254,0.7486794,mid,small,GM12878
ENSG00000163995,3.3897936,1.9245094,mid,small,GM12878
ENSG00000166840,1.685518,1.6381127,mid,small,GM12878
ENSG00000132000,1.4111619,0.23168583,mid,small,GM12878
ENSG00000092529,5.619361,1.0322766,large,small,GM12878
ENSG00000110888,7.1358976,0.5717489,mid,small,GM12878
ENSG00000174695,26.219316,2.1288455,mid,small,GM12878
ENSG00000119698,3.9755387,0.6569925,large,small,GM12878
ENSG00000130545,3.4930856,0.2601761,large,small,GM12878
ENSG00000183307,7.178421,0.7920891,large,small,GM12878
ENSG00000144712,6.294382,1.2861978,mid,small,GM12878
ENSG00000119632,1.6239214,0.31612283,mid,small,GM12878
ENSG00000196562,1.0869275,0.24449384,mid,small,GM12878
ENSG00000217801,3.9998848,2.1977196,mid,small,GM12878
ENSG00000246889,5.529319,0.21783836,mid,small,GM12878
ENSG00000146592,2.5927649,0.31298217,mid,small,GM12878
ENSG00000166436,1.9989803,1.3793303,mid,small,GM12878
ENSG00000151276,184.60757,0.39784014,large,small,GM12878
ENSG00000188822,4.477467,1.1839765,mid,small,GM12878
ENSG00000124762,3.4598174,1.4137628,mid,small,GM12878
ENSG00000182871,9.31963,0.39065838,large,small,GM12878
ENSG00000157613,1.6979346,0.2803878,mid,small,GM12878
ENSG00000214189,1.1550536,0.7053579,mid,small,GM12878
ENSG00000270972,2.170827,0.35843113,mid,small,GM12878
ENSG00000111305,16.415451,0.5842562,large,small,GM12878
ENSG00000257084,2.4968097,2.244803,mid,small,GM12878
ENSG00000181588,6.5341644,0.5001927,large,small,GM12878
ENSG00000170579,8.642401,0.15863845,large,small,GM12878
ENSG00000039560,13.042002,0.388522,mid,small,GM12878
ENSG00000177981,4.456657,0.895886,mid,small,GM12878
ENSG00000165912,4.1993217,0.50831306,mid,small,GM12878
ENSG00000164411,3.0135412,1.3680243,mid,small,GM12878
ENSG00000100320,8.838108,0.3059444,large,small,GM12878
ENSG00000117906,3.0151398,0.18243495,mid,small,GM12878
ENSG00000140022,4.269453,0.2875583,large,small,GM12878
ENSG00000262454,1.5630177,0.31589374,mid,small,GM12878
ENSG00000183196,2.5769377,0.38962364,mid,small,GM12878
ENSG00000168405,8.475294,0.4508255,mid,small,GM12878
ENSG00000019485,1.5132898,1.3253868,mid,small,GM12878
ENSG00000282556,1.6126934,0.7168801,mid,small,GM12878
ENSG00000283189,4.2077017,1.7132117,mid,small,GM12878
ENSG00000086730,2.5468032,1.8313904,mid,small,GM12878
ENSG00000087303,8.094201,1.1320684,large,small,GM12878
ENSG00000185880,2.0276878,0.94402075,mid,small,GM12878
ENSG00000189292,6.7717714,1.2848155,mid,small,GM12878
ENSG00000279202,5.9989696,0.24291506,large,small,GM12878
ENSG00000237638,5.1579876,0.49677837,mid,small,GM12878
ENSG00000166411,1.7786206,0.4118373,mid,small,GM12878
ENSG00000183655,11.585196,0.57564586,large,small,GM12878
ENSG00000189045,9.461736,2.6825516,mid,small,GM12878
ENSG00000144596,10.692814,1.7011175,mid,small,GM12878
ENSG00000188501,1.0721431,0.44000375,mid,small,GM12878
ENSG00000138722,6.092323,0.9415414,mid,small,GM12878
ENSG00000111752,7.3730516,0.50321674,mid,small,GM12878
ENSG00000162374,4.004927,3.612401,mid,small,GM12878
ENSG00000150347,3.169561,1.2060112,mid,small,GM12878
ENSG00000124772,3.8798912,2.582324,mid,small,GM12878
ENSG00000116661,5.1634974,1.9328154,mid,small,GM12878
ENSG00000213928,1.0948399,0.539333,mid,small,GM12878
ENSG00000072071,4.2355247,0.6082976,large,small,GM12878
ENSG00000166848,1.6088758,0.7984767,mid,small,GM12878
