,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC
ENSG00000227070,0.8169093,8.279712,small,large
ENSG00000103184,0.5386066,1.7483673,small,mid
ENSG00000214063,0.43826118,2.200607,small,mid
ENSG00000252391,0.24858673,1.4176232,small,mid
ENSG00000259772,0.42128497,2.8356278,small,mid
ENSG00000225914,0.52646935,3.6043777,small,mid
ENSG00000183317,0.24124597,11.570242,small,large
ENSG00000105122,0.23190527,8.717847,small,large
ENSG00000240527,0.2499688,1.966059,small,mid
ENSG00000262160,0.5804125,1.213427,small,mid
ENSG00000181035,0.3563398,3.9148126,small,large
ENSG00000112902,0.47453883,18.868752,small,large
ENSG00000105810,0.24017851,4.307659,small,mid
ENSG00000126458,0.45823154,5.9355927,small,large
ENSG00000175832,0.23490278,2.6935587,small,mid
ENSG00000167723,0.09814462,6.2811756,small,large
ENSG00000273151,0.5427054,3.1014533,small,mid
ENSG00000146232,0.6103158,2.1533074,small,mid
ENSG00000076662,0.36153638,2.2323356,small,mid
ENSG00000088970,0.27878684,4.5627904,small,large
ENSG00000148426,0.6909777,2.2231822,small,mid
ENSG00000123146,0.63804686,2.1580446,small,mid
ENSG00000126353,0.7741408,2.2715662,small,mid
ENSG00000164776,0.09527451,3.5716524,small,mid
ENSG00000154237,0.73406976,1.8282504,small,mid
ENSG00000142227,0.41972607,4.0509257,small,large
ENSG00000225335,0.27864185,1.1790198,small,mid
ENSG00000153898,0.712531,13.106581,small,large
ENSG00000173267,0.6745121,1.2704988,small,mid
ENSG00000140511,0.64418393,3.749114,small,mid
ENSG00000230155,0.4957143,8.059441,small,large
ENSG00000267272,0.5102139,2.2427988,small,mid
ENSG00000102879,0.47412434,12.828857,small,large
ENSG00000066336,0.6642886,2.3575222,small,mid
ENSG00000170425,0.32321492,1.2808411,small,mid
ENSG00000285802,0.8605022,1.8360883,small,mid
ENSG00000254777,0.19198085,6.692396,small,large
ENSG00000221887,0.5472144,7.1025567,small,large
ENSG00000204815,0.42421353,3.3312216,small,mid
ENSG00000108639,0.6285798,3.242887,small,mid
ENSG00000111087,0.29840374,4.3819675,small,mid
ENSG00000118308,0.33793718,3.9879336,small,mid
ENSG00000131401,0.76170176,4.0464983,small,large
ENSG00000112799,1.005507,9.467963,small,large
ENSG00000276116,0.76238,1.5599234,small,mid
ENSG00000245479,0.23457077,2.4416747,small,mid
ENSG00000010310,0.6069721,4.3489747,small,large
ENSG00000179583,0.90821207,12.237092,small,large
ENSG00000261114,0.35313976,2.4667459,small,mid
ENSG00000205593,0.20990154,6.6170464,small,large
ENSG00000158445,0.5591528,1.2469854,small,mid
ENSG00000234494,0.1948831,2.919671,small,mid
ENSG00000078814,0.4530495,11.062004,small,large
ENSG00000168404,0.56985015,1.5498828,small,mid
ENSG00000020181,0.85093635,2.1196818,small,mid
ENSG00000023892,0.64469504,6.595417,small,large
ENSG00000089639,0.7715993,1.0619084,small,mid
ENSG00000197943,0.74214673,1.1889938,small,mid
ENSG00000141293,0.7404272,8.165096,small,large
ENSG00000167555,0.90474725,1.4243469,small,mid
ENSG00000134470,0.51265025,7.2948046,small,large
ENSG00000141756,0.5837258,2.0691845,small,mid
ENSG00000173221,1.2521142,5.001178,small,mid
ENSG00000133980,0.62855935,4.312443,small,mid
ENSG00000042286,0.64219475,5.419608,small,large
ENSG00000136842,0.5685965,7.52495,small,large
ENSG00000126391,0.751864,5.1265254,small,large
ENSG00000136286,0.23854078,1.4628913,small,mid
ENSG00000070190,0.47485214,2.0802414,small,mid
ENSG00000173432,0.48224986,5.848791,small,large
ENSG00000087076,0.7016651,1.7862381,small,mid
ENSG00000149926,0.79215324,1.5233704,small,mid
ENSG00000106153,0.0073632817,3.5752184,small,mid
ENSG00000006062,0.9053318,1.4189202,small,mid
ENSG00000180628,0.2545905,17.652775,small,large
ENSG00000162174,0.2661144,1.6988916,small,mid
ENSG00000164626,0.7666629,1.9615734,small,mid
ENSG00000229368,0.63974744,4.7727747,small,large
ENSG00000196361,0.6061439,0.97410375,small,mid
ENSG00000146112,0.57728475,4.4128895,small,mid
ENSG00000131979,0.24715637,2.1692615,small,mid
ENSG00000185760,0.8896021,4.234802,small,mid
ENSG00000169499,0.66226083,2.746808,small,mid
ENSG00000271860,0.22619624,14.606201,small,large
ENSG00000281501,0.3607525,4.98978,small,mid
ENSG00000166444,0.4710674,1.2530104,small,mid
ENSG00000137491,0.82817453,10.143137,small,large
ENSG00000164916,0.7212419,12.522086,small,large
ENSG00000103089,0.9894275,4.081828,small,large
ENSG00000247134,0.4800437,27.003681,small,large
ENSG00000133328,0.33828682,8.3474455,small,large
ENSG00000174501,0.28973734,2.2796845,small,mid
ENSG00000164088,0.39238203,2.4640088,small,mid
ENSG00000069974,0.34503442,11.72652,small,large
ENSG00000156050,0.60277057,2.2830906,small,mid
ENSG00000115138,0.4280033,7.07906,small,large
ENSG00000235621,0.23078726,1.559871,small,mid
ENSG00000162927,0.29394302,2.7389464,small,mid
ENSG00000177105,0.7325649,1.9255284,small,mid
ENSG00000178996,0.41008416,5.46504,small,mid
ENSG00000234883,0.75471056,3.4133604,small,mid
ENSG00000157353,0.35943672,4.8859715,small,large
ENSG00000198937,0.8937498,3.2870877,small,mid
ENSG00000136237,1.0703135,7.464885,small,large
ENSG00000136279,0.34940785,8.94283,small,large
ENSG00000223745,0.44759724,2.1600106,small,mid
ENSG00000284882,0.4374394,2.3931177,small,mid
ENSG00000181031,0.3936698,7.901254,small,large
ENSG00000175779,0.37272143,13.052539,small,large
ENSG00000255693,0.5758735,1.5984645,small,mid
ENSG00000261471,0.3455755,2.0253584,small,mid
ENSG00000100600,0.6024274,9.782618,small,large
ENSG00000105499,0.41346344,2.4358954,small,mid
ENSG00000169193,0.33740175,7.571053,small,large
ENSG00000101160,1.0303856,5.4146495,small,large
ENSG00000100979,0.42439407,3.45155,small,mid
ENSG00000140443,0.41195688,3.0707862,small,mid
ENSG00000206028,0.575179,3.3649497,small,mid
ENSG00000159307,0.69298476,2.7299583,small,mid
ENSG00000271933,0.32230878,1.9488193,small,mid
ENSG00000156968,0.8744795,11.32365,small,large
ENSG00000168297,0.33686745,3.8167274,small,mid
